#BJD_TDB	rel_flux_T1_n	rel_flux_err_T1_n	AIRMASS	Width_T1
2459358.063438	0.995758	0.001228	1.269062	10.840505
2459358.064461	0.996545	0.001222	1.274494	10.919521
2459358.065482	0.996007	0.001217	1.280035	10.441403
2459358.066503	0.996909	0.001211	1.285643	10.707509
2459358.067525	0.996732	0.001209	1.291364	11.288359
2459358.068545	0.993763	0.001198	1.297155	10.745061
2459358.069566	0.996782	0.001199	1.303037	11.098265
2459358.070588	0.995646	0.001190	1.309011	10.599843
2459358.071609	0.998906	0.001183	1.315102	10.412947
2459358.072630	1.000008	0.001179	1.321292	10.541855
2459358.073651	0.998856	0.001171	1.327559	10.535426
2459358.074673	1.002463	0.001168	1.333950	10.649099
2459358.075695	1.000862	0.001165	1.340444	10.781938
2459358.076718	1.000723	0.001162	1.347061	10.506765
2459358.077740	1.001698	0.001155	1.353740	10.424847
2459358.078761	1.001679	0.001149	1.360550	10.200639
2459358.079782	0.999500	0.001147	1.367468	10.024131
2459358.080803	1.000373	0.001148	1.374499	10.318763
2459358.081824	0.998353	0.001150	1.381646	10.647771
2459358.082845	1.001037	0.001154	1.388915	10.854763
2459358.083867	0.998321	0.001153	1.396298	10.813179
2459358.084888	0.999564	0.001153	1.403801	10.947261
2459358.085909	0.998497	0.001150	1.411427	10.733576
2459358.086931	0.998514	0.001146	1.419207	10.291628
2459358.087953	0.999444	0.001144	1.427087	10.122776
2459358.088974	0.998369	0.001144	1.435104	10.447194
2459358.089995	1.001223	0.001153	1.443255	11.190750
2459358.091017	0.998687	0.001149	1.451565	11.099582
2459358.092038	0.999638	0.001146	1.459981	10.909512
2459358.093060	0.999695	0.001144	1.468570	10.626547
2459358.094082	0.997841	0.001143	1.477275	10.810998
2459358.095102	1.000381	0.001147	1.486158	10.595217
2459358.096123	0.999194	0.001152	1.495164	10.934706
2459358.097144	0.998736	0.001158	1.504324	11.085925
2459358.098166	1.000385	0.001157	1.513670	10.659667
2459358.099188	0.998266	0.001160	1.523174	10.649063
2459358.100209	1.002624	0.001156	1.532842	10.440855
2459358.101232	1.000968	0.001157	1.542680	10.842672
2459358.102255	1.001202	0.001155	1.552692	10.573410
2459358.103279	0.997827	0.001155	1.562881	10.531056
