#BJD_TDB	rel_flux_T1_n	rel_flux_err_T1_n	AIRMASS	Width_T1
2459358.072239	0.999749	0.001124	1.318839	10.042778
2459358.073052	1.001000	0.001122	1.323796	10.306668
2459358.073866	1.000443	0.001118	1.328838	10.010346
2459358.074680	0.999434	0.001116	1.333922	10.191110
2459358.075492	0.999506	0.001115	1.339073	10.461867
2459358.076306	0.999046	0.001116	1.344310	10.094926
2459358.077119	1.002143	0.001115	1.349589	10.163302
2459358.077933	0.999416	0.001109	1.354960	9.898850
2459358.078752	0.999765	0.001108	1.360425	9.932111
2459358.079565	0.999219	0.001108	1.365912	9.667766
2459358.080379	0.999689	0.001109	1.371493	9.693368
2459358.081193	1.000005	0.001110	1.377145	9.919271
2459358.082006	1.000762	0.001116	1.382850	10.418078
2459358.082820	1.002533	0.001120	1.388654	10.395161
2459358.083634	0.999398	0.001120	1.394533	10.479119
2459358.084449	0.997442	0.001120	1.400486	10.686188
2459358.085262	1.000532	0.001117	1.406491	10.124982
2459358.086075	1.002080	0.001119	1.412602	10.489879
2459358.086888	1.001083	0.001112	1.418765	9.987459
2459358.087701	0.998809	0.001112	1.425035	9.861599
2459358.088516	0.999450	0.001110	1.431393	9.616209
2459358.089328	0.999077	0.001115	1.437838	10.315305
2459358.090143	1.002370	0.001121	1.444367	10.886499
2459358.090957	1.002300	0.001116	1.450978	10.740154
2459358.091770	0.998211	0.001111	1.457674	10.626577
2459358.092583	0.999509	0.001110	1.464430	10.157518
2459358.093396	1.000966	0.001109	1.471307	10.461870
2459358.094209	1.003900	0.001113	1.478278	10.365670
2459358.095022	1.002859	0.001114	1.485341	10.210828
2459358.095834	0.999010	0.001116	1.492504	10.532535
2459358.096649	0.998674	0.001125	1.499766	10.746506
2459358.097462	0.999876	0.001126	1.507124	10.522990
2459358.098275	1.001287	0.001127	1.514579	10.168525
2459358.099088	0.997553	0.001128	1.522136	10.196029
2459358.099902	0.998797	0.001123	1.529795	9.891735
2459358.100715	0.998842	0.001124	1.537562	10.566568
2459358.101528	0.996848	0.001121	1.545472	10.138980
2459358.102342	0.999123	0.001121	1.553422	10.259855
2459358.103155	0.999889	0.001123	1.561555	10.105636
2459358.103968	0.998527	0.001126	1.569728	10.318838
2459358.104782	0.998113	0.001125	1.578086	10.042031
2459358.105595	0.998794	0.001127	1.586561	10.429087
2459358.106409	1.002057	0.001133	1.595121	10.744884
2459358.107223	0.999995	0.001133	1.603807	10.419792
2459358.108035	0.999018	0.001133	1.612655	10.463039
2459358.108850	0.999522	0.001137	1.621587	10.648476
2459358.109664	0.998824	0.001133	1.630647	10.231068
2459358.110477	1.000570	0.001131	1.639879	10.435352
2459358.111291	0.999791	0.001133	1.649241	10.192345
2459358.112105	0.999094	0.001136	1.658698	10.417835
2459358.112919	0.998659	0.001136	1.668298	10.522041
2459358.113732	0.999619	0.001137	1.678081	10.686433
2459358.114545	1.001179	0.001137	1.688012	10.403729
2459358.115360	0.998966	0.001136	1.698091	10.656664
2459358.116177	0.998798	0.001142	1.708317	10.366883
2459358.116990	0.999084	0.001148	1.718702	10.193107
2459358.117805	0.998840	0.001151	1.729243	10.744892
2459358.118619	1.000501	0.001162	1.739844	11.174463
2459358.119431	1.000731	0.001170	1.750698	10.729478
2459358.120244	0.998344	0.001183	1.761722	11.271701
2459358.121090	1.000355	0.001198	1.773308	11.314512
2459358.121903	1.000942	0.001212	1.784677	10.896530
